Pertanyaan,Jawaban
Siapa presiden ketiga Indonesia?,Bacharuddin Jusuf Habibie (B. J. Habibie)
Siapa presiden kedua Indonesia?,Jenderal Besar TNI (Purn.) H. M. Soeharto
Siapa presiden keenam Indonesia?,Soesilo Bambang Yudhoyono
Siapa presiden ketujuh Indonesia?,Joko Widodo
Siapa presiden kelima Indonesia?,Megawati Soekarno Putri
Siapa presiden keempat Indonesia?,Abdurrahman Wahid
Siapa wakil presiden ketujuh Indonesia?,Maruf Amin
Siapa wakil presiden keempat Indonesia?,Megawati Soekarno Putri
Siapa wakil presiden keenam Indonesia?,M. Jusuf Kalla
Siapa wakil presiden kelima Indonesia?,Hamza Haz
Siapa wakil presiden pertama Indonesia?,Drs. Moh. Hatta
Siapa presiden pertama Indonesia?,Ir. Soekarno
Apa ibukota Jawa Tengah?,Semarang
Apa ibukota Nusa Tenggara Barat?,Mataram
Apa ibukota Nusa Tenggara Timur?,Kupang
Apa ibukota Bali?,Denpasar
Apa ibukota Jawa Timur?,Surabaya
Apa ibukota Jawa Barat,Bandung
Apa Ibukota Banten?,Serang
Apa ibukota Sumatera Utara?,Medan
Apa ibukota Sumatera Barat?,Padang
Apa ibukota Lampung?,Bandar Lampung
Apa ibukota Sumatera Selatan?,Palembang
Apa ibukota Aceh?,Banda Aceh
Apa ibukota Gorontalo?,Gorontalo
Apa ibukota Sulawesi Utara?,Manado
Apa ibukota Riau?,Pekanbaru
Apa ibukota Sulawesi Selatan?,Makassar
Apa ibukota Kalimantan Barat?,Pontianak
Apa ibukota Kalimantan Tengah?,Palangkaraya
Apa ibukota Kalimantan Selatan? ,Banjarbaru
Apa ibukota Sulawesi Barat?,Mamuju
Apa ibukota Papua Barat?,Manokwari
Apa ibukota Papua?,Jayapura
Sebutkan sila pertama?,Ketuhanan Yang Maha Esa
Sebutkan sila kedua?,Kemanusiaan yang adil dan beradab
Apa ibukota Sulawesi Tenggara?,Kendari
Apa ibukota Sulawesi Tengah?,Palu
Sebutkan sila ketiga?,Persatuan Indonesia
Sebutkan sila keempat?,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan
Apa ibukota Bengkulu?,Bengkulu
Sebutkan sila kelima?,Keadilan sosial bagi seluruh rakyat Indonesia
Apa ibukota Prancis?,Paris
Apa rumah adat Provinsi Jawa Tengah? ,Joglo
Apa rumah adat Provinsi Aceh?,Krong Bade
Apa ibukota Jepang?,Tokyo
Apa rumah adat Provinsi Sumatera Barat? ,Gadang
Apa ibukota Italy?,Roma
Apa rumah adat Provinsi Bengkulu?,Bubungan lima
Apa rumah adat Provinsi Jambi?,Panggung
Apa rumah adat Provinsi Kalimantan Barat?,Rumah Panjang
Apa ibukota Jerman?,Berlin
Apa ibukota Kamboja?,Phnom Penh
Apa ibukota Laos?,Vientiane
Apa ibukota Myanmar?,Naypyidaw
Kapan Hari Kartini diperingati?,21 April
Apa ibukota Thailand?,Bangkok/ Krung Thep Maha Nakhon
Kapan Hari Pendidikan Nasional diperingati?,2 Mei
Kapan Hari Kebangkitan Nasional diperingati?,20 Mei
Kapan Hari Kemerdekaan RI diperingati?,17 Agustus
Kapan Hari Lahir Pancasila diperingati?,1 Juni
Apa ibukota Filipina?,Manilla
Apa ibukota Indonesia?,Jakarta
Kapan Hari Kesaktian Pancasila diperingati?,1 Oktober
Kapan Hari Sumpah Pemuda diperingati?,28 Oktober
Apa alat musik tradisional Jawa Barat?,Rebab
Apa alat musik tradisional Nusa Tenggara Timur?,Sasando
Dari mana alat musik tifa berasal?,Maluku dan Papua
"Dari mana alat musik gamelan berasal?,""Sumatera, Bali, dan Jawa""",
Dari mana alat musik tatabuang berasal?,Flores Timur
Dari mana alat musik gambus berasal?,Riau
"Dari mana alat musik kolintang berasal?,""Minahasa, Sulawesi Utara""",
Julukan Banda Aceh adalah?,Serambi Mekkah
Julukan Bogor adalah?,Kota Hujan
Julukan Surabaya adalah?,Kota Pahlawan
Apa ibukota Timor Leste?,Dili
Julukan Palembang adalah?,Kota Pempek
Apa ibukota China?,Beijing
Apa ibukota Brunei Darussalam?,Bandar Seri Begawan
Apa ibukota Korea Selatan?,Seoul
Julukan Pekalongan adalah?,Julukan Pekalongan adalah?
Apa ibukota Korea Utara?,Pyongyang
Julukan Gorontalo adalah?,Serambi Madinah 
Apa ibukota Mongolia?,Ulan Bator
 Siapa raja pertama Kerajaan Kutai?,Kudungga
Apa ibukota India?,New Delhi
Disebut apakah Candi Prambanan?,Candi Roro Jonggrang
Sumpah yang diucapkan Patih Gajah Mada disebut? ,Sumpah Palapa
Dimana lokasi kerajaan Samudera Pasai?,Aceh
Apa ibukota Bahrain?,Manama
Apa nama kerajaan yang didirikan Ken Arok?,Kerajaan Singasari
Apa ibukota Qatar?,Doha
Dimana Kerajaan Tarumanegara terletak?,Jawa Barat
Apa ibukota Palestina?,Yerusalem
Kapan agresi pertama Belanda dilakukan?,21 Juli
Apa ibukota Israel?,Tel Aviv
Dimana Yesus lahir?,Betlehem
Apa ibukota Kazakhstan?,Astana
Sungai terpanjang di dunia adalah? ,Nil
Apa ibukota Irak?,Baghdad
Penemu telepon adalah?,Alexander Graham Bell
Apa ibukota Kanada?,Ottawa
Penemu lampu adalah?,Thomas Alpha Edison
Apa ibukota Haiti?,Port Au Prince
Siapa presiden Turki tahun 2022 ini? ,Erdogan
Apa ibukota Repubik Dominika?,Santo Dominggo
Dimana markas kantor PBB?,New York Amerika Serikat
Siapa penemu Benua Amerika,Christopher Columbus
Apa ibukota Puerto Rico?,San Juan
Apa ibukota Jamaika?,Kingston
Siapa pemegang kekuasaan eksekutif?,Presiden dan Wakil Presiden
Apa ibukota El Savador?,San Salvado
"Siapa pemegang kekuasaan yudikatif?,""Kedaulatan Yudikatif diisi oleh MA, KY, juga MK""",
Apa ibukota Honduras?,Tegucigalpa
Apa singkatan dari MPR?,Majelis Permusyawaratan Rakyat
Apa ibukota Nicaragua?,Managua
Apa ibukota Equador?,Quito
Apa ibukota Costa RIca?,San Jose
Apa ibukota Suriname?,Paramaribo
Apa ibukota Trinidad and Tobago?,Port of Span
Apa ibukota Colombia?,Bogota
Apa ibukota Venezuela?,Caracas
Apa ibukota Peru?,Lima
Apa ibukota Bolivia?,Lapaz
Apa ibukota Chili?,Santiago
Apa ibukota Paraguay?,Asuncion
Apa ibukota Uruguay?,Montevideo
Apa ibukota Argentina? ,Buenos Aires
Apa ibukota Libia?,Tripoli
Apa ibukota Mesir?,Cairo
Apa ibukota Moroko?,Rabat
Apa ibukota Sudan?,Khartoum
Apa ibukota Afrika Selatan?,Cape Town
Apa ibukota Botswana?,Gaborone
Apa ibukota Namibia?,Windhoek
Apa ibukota Swaziland?,Mbabane
Apa ibukota Gabon?,Libreville
Apa ibukota Kamerun?,Yaounde
Apa ibukota Kongo?,Brazzaville
Apa ibukota Republik Afrika Tengah?,Bangui
Apa ibukota Republik Demokratik Kongo?,Kinshasa
Apa ibukota Burundi?,Bujumbura
Apa ibukota Ethiopia?,Addis Ababa
Apa ibukota Kenya?,Nairobi
Apa ibukota Madagascar?,Antananarivo
Apa ibukota Malawi?,Lilongwe
Apa ibukota Mauritius?,Port Louis
Apa ibukota Mozambik?,Maputo
Apa ibukota Rwanda?,Kigali
Apa ibukota Seychelles?,Victoria
Apa ibukota Somalia?,Mogadishu
Apa ibukota Sudan Selatan?,Juba
Apa ibukota Tanzania?,Dodoma
Apa ibukota Uganda?,Kampala
Apa ibukota Zambia?,Lusaka
Apa ibukota Zimbabwe?,Harare
Apa ibukota Benin?,Porto-Novo
Apa ibukota Burkina Faso?,Ouagadougou
Apa ibukota Gambia?,Banjul
Apa ibukota Ghana?,Accra
Apa ibukota Guinea?,Conakry
Apa ibukota Liberia?,Monrovia
Apa ibukota Mali?,Bamako
Apa ibukota Mauritania?,Nouakchott
Apa ibukota Niger?,Niamey
Apa ibukota Nigeria?,Abuja
Apa ibukota Senegal?,Dakar
Apa ibukota Sierra Leone?,Freetown
Apa ibukota Togo?,Lome
Apa ibukota Belanda?,Amsterdam
Apa ibukota Belgia?,Brussels
Apa ibukota Austria?,WIna
Apa ibukota Swiss?,Bern
Apa ibukota Luksemburg?,Luxembourg City
Apa ibukota Rusia?,Moscow
Apa ibukota Liechtenstein?,Vaduz
Apa ibukota Ukraina?,Kiev
Apa ibukota Polandia?,Warsaw
Apa ibukota Rumania?,Bucharest
Apa ibukota Czech Republic?,Praha
Apa ibukota Hungaria?,Budapest
Apa ibukota Belarus?,Minsk
Apa ibukota Bulgaria?,Sofia
Apa ibukota Slovakia?,Bratislava
Apa ibukota Moldova?,Chisinau
Apa ibukota Spanyol?,Madrid
Apa ibukota Portugal? ,Lisbon
Apa ibukota Serbia?,Belgrade
Apa ibukota Kroasia?,Zagreb
Apa ibukota Bosnia and Herzegovina?,Sarajevo
Apa ibukota Albania?,Tirana
Apa ibukota Makedonia?,Skopje
Apa ibukota Slovenia?,Ljubljana
Apa ibukota Montenegro?,Podgorica
Apa ibukota Malta?,Valletta
Apa ibukota Andora?,Andorra la Vella
Apa ibukota Siprus?,Nicosia
Apa ibukota Inggris?,London
Apa ibukota Swedia?,Stockholm
Apa ibukota Denmark?,Copenhagen
Apa ibukota Finlandia?,Helsinki
Apa ibukota Norwegia?,Oslo
Apa ibukota Irlandia?,Dubin
Apa ibukota Lithuania?,Vilnius
Apa ibukota Latvia?,Riga?
Apa ibukota Estonia?,Talinn
Apa ibukota Istania?,Reykjavik
Apa ibukota Bangladesh?,Dhaka
Apa ibukota Uni Emirat Arab?,Abu Dhabi
Apa makanan khas Sumatera Barat?,Rendang
Apa makanan khas Aceh?,Mie Aceh
Apa makanan khas Sumatera Utara?,Bika Ambon
Apa makanan khas Jambi?,Gulai Ikan Patin
Apa makanan khas Bengkulu?,Pendap
Apa makanan khas Riau?,Gulai Belacan
Apa makanan khas Kepulauan Riau?,Otak-otak
Apa makanan khas Sumatera Selatan?,Empek-Empek
Apa makanan khas Bangka Belitung?,Mi Bangka
Apa makanan khas Lampung?,Seruit
Apa makanan khas Banten?,Satai Bandeng
Apa makanan khas Jakarta?,Kerak Telur
Apa makanan khas Jawa Barat?,Serabi
Apa makanan khas Jawa Tengah?,Lumpia
Apa makanan khas DI Yogyakarta?,Gudeg
Apa makanan khas Jawa Timur?,Rujak Cingur
Apa makanan khas Bali?,Ayam Betutu
Apa makanan khas Nusa Tenggara Barat?,Ayam Taliwang
Apa makanan khas Nusa Tenggara Timur?,Catemak Jagung
Apa makanan khas Kalimantan Barat?,Bubur Pedas Sambas
Apa makanan khas Kalimantan Tengah?,Juhu Singkah
Apa makanan khas Kalimantan Selatan?,Soto Banjar
Apa makanan khas Kalimantan Timur?,Ayam Cincane
Apa makanan khas Kalimantan Utara?,Kepiting Soka
Apa makanan khas Sulawesi Selatan?,Sup Konro
Apa makanan khas Sulawesi Tengah?,Ikan Jantung Pisang
Apa makanan khas Sulawesi Tenggara?,Lapa-lapa
Apa makanan khas Gorontalo?,Binte Biluhuta
Apa makanan khas Sulawesi Utara?,Tinutuan
Apa makanan khas Maluku?,Ikan Asar
Apa makanan khas Maluku Utara?,Gohu Ikan
Apa makanan khas Papua Barat?,Ikan Bakar Manokwari
Apa makanan khas Papua Timur?,Papeda
Apa makanan khas Papua Tengah?,Kue Sagu
Siapa penemu teori relativitas?,Albert Einstein
Siapa penemu baterai?,Alessandro Volta 
Siapa penemu dinamit?,Alfred Nobel
Siapa penemu lensa?,Anthony Van Leuwenhook
Siapa penemu dowel fischer?,Artur Fischer
Siapa penemu lensa kacamata?,Benyamin Franklin
Siapa penemu traktor?,Benjamin Holt
Siapa penemu liquid paper?,Bette Nesmith Graham
Siapa penemu mesin hitung?,Blaise Pascal
Siapa penemu kertas?,Cai Lun
Siapa penemu ban karet vulkanisasi?,Charles Goodyear
Siapa penemu jam?,Christian Huygens
SIapa penemu mesin ketik QWERTY?,Christopher Sholes
Siapa penemu radio?,C.Marconi
Siapa penemu kapal selam?,Cornelius van Drebbel
Siapa penemu holografi?,Dennis Gabor
Siapa penemu tabel periodik?,Dmitri Mendeleev
Siapa penemu rem elevator?,Elis G. Otis
Siapa penemu busa pemadam kebakaran?,Elmer R. Gates
Siapa penemu alat rekaman piringan?,Emil Berliner
Siapa penemu tank?,Ernest Swinton
Siapa penemu mikroskop elektron?,Ernest August Friedrich Ruska
Siapa penemu barometer air raksa?,Evangelista Torricelli
Siapa penemu aspirin?,Felix Hoffman
Siapa penemu mesin jet turbo?,Frank Whittle
Siapa penemu sepeda?,Friedrich Karl von Drais
Siapa penemu tape audio?,Fritz Pfleumer
Siapa penemu termometer?,Galileo Galitei
Siapa penemu unsur kimia Hafnium?,George de Hevesy
Siapa penemu film gulung?,George Eastman
Siapa penemu pencacah geiger?,Hans Geiger
Siapa penemu teleskop?,Hans Lippershey
Siapa penemu mesin jet?,Hans von Ohain
Siapa penemu bola cahaya?,Heinrich Gobel
Siapa penemu teori gelombang elektromagnetik cahaya?,Heinrich Hertz
Siapa penemu helikopter?,Yum Soemarsono
Siapa penemu helikopter modern?,Igor Ivanovich Sikorsky
Siapa penemu kawat pijar dan tabung vacuum tinggi?,Irving Langmuir
Siapa penemu hukum gravitasi?,Isaac Newton
Siapa penemu balon hidrogen?,Jacques Charles
Siapa penemu mesin uap?,James Watt
Siapa penemu televisi?,J.L. Baird & C.F. Jenkins
Siapa penemu mesin cetak?,Johannes Gutenberg
Siapa penemu antiseptik untuk pembedahan?,Josep Lister
Siapa penemu balon berudara panas?,Josep dan J.Montgolfier
Siapa penemu alat pencuci piring otomatis?,Josephine Cochrane
Siapa yang meciptakan tabel periodik unsur kimia?,Julius Lothar Meyer
Siapa penemu teknologi MP3?,Karlheinz Brandenburg
Siapa penemu jeans?,Levi Strauss
Siapa penemu penemu proses fotografi Daguerreotype?,Louis-Jacques-Monde da Guerre
Siapa penemu kamera polaroid?,Edwin Land
Siapa penemu vaksinasi?,Louis Pasteur
Siapa penemu dinamo?,Michael Faraday
Siapa penemu penyaring kopi?,Melitta Bentz
Siapa penemu kereta api?,Murdocks
Siapa pengembang teori Heliosentrisme?,Nocolaus Copernicus
Siapa penemu motor listrik?,Nikola Tesla
Siapa pencipta komputer?,Konrad Zuse
Siapa penemu jam saku?,Peter Henlein
Siapa penemu surat elektronik?,Ray Tomlinson
Siapa penemu stetoskop?,Rene Laennec
Siapa penemu roket berbahan bakar cair?,Robert H. Goddard
Siapa penemu mesin pembakaran?,Rudolf Diesel
Siapa penemu korek api?,Robert Boyle dan John Walker
Siapa penemu kapal api?,Robert Fulton
Siapa penemu prangko?,Rowland Hill
Siapa penemu mikroskop?,Zacharias Janssen
Siapa penemu Homeopati?,Samuel Hahnemann
Siapa penemu telegraf?,Samuel F. B. Morse
Siapa penemu bola lampu?,Thomas Alva Edison
Siapa penemu pesawat terbang?,Wilbur dan Orville Wright
Siapa penemu sinar X?,Wilhelm Conrad R̦ntgen
Siapa penemu mesin dialisis ginjal dan organ?,WIllem Johan Kolff
Siapa penemu elektromagnet?,Williarn Sturgeon
Siapa penemu AC modern?,Willis Haviland Carrier
Siapa pendiri agama Buddha?,Siddartha Gautama
Siapa pendiri agama Kong Hu Cu?,Kong Hu Cu
Siapa penyebar agama Islam?,Nabi Muhammad
Siapa yang membuktikan teori geometri?,Euclides
Siapa yang mengembangkan teori evolusi?,Charles Robert Darwin
Siapa kaisar pertama Kekaisaran Romawi?,Augustus Caesar
Siapa nabi terbesar Yahudi?,Nabi Musa
Siapa bapak Kimia modern?,Antoine Laurent Lavoisier
Siapa pendiri agama Protestan?,Marthin Luther
Siapa presiden pertama Amerika Serikat?,George Washington
Siapa bapak Komunisme?,Karl Heinrich Marx
Siapa pelopor Kapitalisme?,Adam Smith
Siapa penemu teori atom?,John Dalton
Siapa pelopor Anestesiologi?,William Thomas Green Morton
Siapa yang memimpin Blok Poros dalam PD II?,Adolf Hitler
Siapa penemu Penisilin?,Alexander Fleming
Siapa pencetus Prinsip Ketidakpastian?,Werner Karl Heisenberg
Siapa penyeru Perang Salib?,Paus Urbanus II
Siapa penemu sirkulasi darah?,William Harvey
Siapa pendiri Calvinisme?,John Calvin
Siapa penemu teori genetika?,Gregor Johann Mendel
Siapa yang mengemukakan Termodinamika?,Max Karl Ernst Ludwig Planck
Siapa presiden ketiga Amerika Serikat?,Thomas Jefferson
Siapa ahli psikoanalisis?,Sigmund Freud
Siapa penemu Hukum Kepler,Johannes Kepler
Siapa bapak Bom Atom?,Enrico Fermi
Siapa penemu Kalkulus Diferensial?,Leonhard Euler
Siapa penemu Integral?,Leonhard Euler
Siapa penemu Aljabar?,Leonhard Euler
Siapa penemu pil KB?,Gregory Goodwin Pincus
Siapa pendiri Manicheanisme?,Mani (en) 
Siapa pendiri Dinasti Sui?,Kaisar Sui Wen
Siapa penemu rute pelayaran Eropa ke India?,Vasco da Gama
Siapa pendiri kekaisaran Persia?,Raja Cyrus yang Agung
Siapa bapak Maoisme?,Mao Zedong (Mao Tse-tung)
Siapa pembuat mobil model T?,Henry Ford
Siapa pendiri Zoroastrianisme?,Zarathustra
Siapa yang menyatukan Mesir Hulu dan Hilir?,Raja Menes
Siapa pendiri Jainisme?,Mahavira
Kapan Hari Korps Wanita Angkatan Laut (KOWAL)? ,05 Januari
Kapan Hari Korps Wanita Angkatan Laut (KOWAL)? ,05 Januari
Kapan Hari Kanker Dunia?,04 Februari
Kapan Hari Pers Nasional (HPN)?,09 Februari
Kapan Hari Peringatan Pemberontakan Pembela Tanah Air (PETA)?,14 Februari
Kapan Peringatan Peristiwa Serangan Umum di Yogyakarta? ,01 Maret
Kapan Hari Kehakiman Nasional?,01 Maret
Kapan Hari KOSTRAD (Komando Strategis Angkatan Darat)?,06 Maret
Kapan Hari Perempuan Internasional?,08 Maret
Kapan Hari Musik Nasional?,09 Maret
Kapan Hari Perawat Nasional?,11 Maret
Kapan Hari Arsitektur Indonesia?,18 Maret
Kapan Hari Down Syndrome Internasional?,21 Maret
Kapan Hari Hutan Sedunia?,21 Maret
Kapan Hari Air Sedunia?,22 Maret
Kapan Hari Peringatan Bandung Lautan Api?,24 Maret
Kapan Hari TBC Sedunia?,24 Maret
Kapan Hari Film Indonesia?,30 Maret
Kapan Hari Bank Dunia?,01 April
Kapan Hari Nelayan Indonesia?,06 April
Kapan Hari TNI Angkatan Udara?,09 April
Kapan Hari Kesehatan Internasional?,07 April
Kapan Hari Komando Pasukan Khusus?,16 April
Kapan Hari Hemophilia Sedunia?,17 April
Kapan Hari Peringatan Konferensi Asia-Afrika?,18 April
Kapan Hari Kartini?,21 April
Kapan Hari Bumi Internasional?,22 April
Kapan Hari Puisi Nasional?,28 April
Kapan Hari Kesehatan dan Keselamatan Kerja?,28 April
Kapan Hari Buruh Sedunia?,01 Mei
Kapan Peringatan Pembebasan Irian Barat? ,01 Mei
Kapan Hari Kebangkitan Nasional?,20 Mei
Kapan Hari Peringatan Reformasi?,21 Mei
Kapan Hari Tanpa Tembakau Sedunia?,31 Mei
Kapan Hari Lahir Pancasila?,01 Juni
Kapan Hari Laut Sedunia?,08 Juni
Kapan Hari Anti Narkoba Sedunia?,26 Juni
Kapan Hari Bhayangkara?,01 Juli
Kapan Hari Bank Indonesia?,05 Juli
Kapan Hari Koperasi Indonesia?,12 Juli
Kapan Hari Keadlian Internasional?,17 Juli
Kapan Hari Anak Nasional?,23 Juli
Kapan Hari ASI Sedunia?,01 Agustus
Kapan Hari Ulang Tahun ASEAN?,08 Agustus
Kapan Hari Veteran Nasional?,10 Agustus
Kapan Hari Kebangkitan Teknologi Nasional?,10 Agustus
Kapan Hari Pramuka?,14 Agustus
Kapan Hari Konstitusi RI?,18 Agustus
Kapan Hari Maritim Nasional?,21 Agustus
Kapan Hari Jantung Dunia?,01 September
Kapan Hari Polisi Wanita?,01 September
Kapan Hari Palang Merah Indonesia?,03 September
Kapan Hari Olahraga Nasional?,09 September
Kapan Hari Perhubungan Nasional?,17 September
Kapan Hari Perdamaian Dunia?,21 September
Kapan Hari Tani Nasional?,24 September
Kapan Hari Kereta Api?,28 September
Kapan Peringatan Pemberontakan G30S/PKI?,30 September
Kapan Hari Kesaktian Pancasila?,01 Oktober
Kapan Hari Batik?,02 Oktober
Kapan Hari Tentara Nasional Indonesia (TNI)?,05 Oktober
Kapan Hari Kesehatan Jiwa Sedunia?,10 Oktober
Kapan Hari Parlemen Indonesia?,16 Oktober
Kapan Hari Penerbangan Nasional?,27 Oktober
Kapan Hari Sumpah Pemuda?,28 Oktober
Kapan Hari Pahlawan?,10 November
Kapan Hari Kesehatan Nasional?,12 November
Kapan Hari Ayah Nasional?,12 November
Kapan Hari Anak Sedunia?,20 November
Kapan Hari Guru?,25 November
Kapan Hari KORPRI?,29 November
Kapan Hari AIDS Sedunia?,01 Desember
Kapan Hari Penerbangan Sipil?,07 Desember
Kapan Hari Anti Korupsi Sedunia?,09 Desember
Kapan Hari HAM?,09 Desember
Kapan Hari Nusantara?,13 Desember
Kapan Hari Transmigrasi?,12 Desember
Kapan Hari Bela Negara?,19 Desember
Kapan Hari Ibu Nasional?,22 Desember
Kapan Hari Natal?,25 Desember
Apa nama induk organisasi renang di Indonesia?,Persatuan Renang Seluruh Indonesia (PRSI)
Apa nama induk organisasi atletik di Indonesia?,Persatuan Atletik Seluruh Indonesia (PASI)
Apa nama induk organisasi panahan di Indonesia?,Persatuan Panahan Indonesia (Perpani)
Apa nama induk organisasi softball di Indonesia?,Perserikatan Bisbol dan Sofbol Amatir Seluruh Indonesia (Perbasasi)
Apa nama induk organisasi basket di Indonesia?,Persatuan Bola Basket Seluruh Indonesia (Perbasi)
Apa nama induk organisasi tinju di Indonesia?,Persatuan Tinju Amatir Indonesia (Pertina)
Apa nama induk organisasi olahraga sepeda di Indonesia?,Ikatan Sport Sepeda Indonesia (ISSI)
Apa nama induk organisasi anggar di Indonesia?,Ikatan Anggar Seluruh Indonesia (Ikasi)
Apa nama induk organisasi senam di Indonesia?,Persatuan Senam Indonesia (Persani)
Apa nama induk organisasi judo di Indonesia?,Persatuan Judo Seluruh Indonesia (PJSI)
Apa nama induk organisasi dayung di Indonesia?,Persatuan Olahraga Dayung Seluruh Indonesia (PODSI)
Apa nama induk organisasi layar di Indonesia?,Persatuan Olahraga Layar Seluruh Indonesia (Porlasi)
Apa nama induk organisasi badminton di Indonesia?,Persatuan Bulutangkis Seluruh Indonesia (PBSI)
Apa nama induk organisasi berkuda di Indonesia?,Persatuan Olahraga Berkuda Seluruh Indonesia (Pordasi)
Apa nama induk organisasi sepak bola di Indonesia?,Persatuan Sepak Bola Seluruh Indonesia (PSSI)
Apa nama induk organisasi menembak di Indonesia?,Persatuan Menembak dan Berburu Indonesia (Perbakin)
Apa nama induk organisasi tenis meja di Indonesia?,Persatuan Tenis Meja Seluruh Indonesia (PTMSI)
Apa nama induk organisasi taekwondo di Indonesia?,Taekwondo Indonesia (TI)
Apa nama induk organisasi tenis lapangan di Indonesia?,Persatuan Tenis Lapangan Indonesia (Pelti)
Apa nama induk organisasi voli di Indonesia?,Persatuan Bola Voli Seluruh Indonesia (PBVSI)
Apa nama induk organisasi gulat di Indonesia?,Persatuan Gulat Amatir Seluruh Indonesia (PGSI)
Apa nama induk organisasi catur di Indonesia?,Persatuan Catur Seluruh Indonesia (Percasi)
Apa nama induk organisasi sepak takraw di Indonesia?,Persatuan Sepak Takraw Seluruh Indonesia (PSTI)
Apa nama induk organisasi panjat tebing di Indonesia?,Federasi Panjat Tebing Indonesia (FPTI)
Apa nama induk organisasi dansa di Indonesia?,Ikatan Olahraga Dansa Indonesia (IODI)
Apa nama induk organisasi ski air di Indonesia?,Persatuan Ski Air Seluruh Indonesia (PSASI)
Apa nama induk organisasi sepatu roda di Indonesia?,Persatuan Olahraga Sepatu Roda Seluruh Indonesia (Perserosi)
Apa nama induk organisasi selam di Indonesia?,Persatuan Olahraga Selam Seluruh Indonesia (POSSI)
Apa nama induk organisasi karate di Indonesia?,Federasi Olahraga Karate-do Indonesia (FORKI)
Apa nama induk organisasi bowling di Indonesia?,Persatuan Boling Indonesia (PBI)
Apa nama induk organisasi billiard di Indonesia?,Persatuan Olahraga Biliar Seluruh Indonesia (POBSI)
Apa nama induk organisasi golf di Indonesia?,Persatuan Golf Indonesia (PGI)
Apa nama induk organisasi bela diri kempo di Indonesia?,Persaudaraan Bela Diri Kempo Indonesia (Perkemi)
Apa nama induk organisasi aero sport di Indonesia?,Federasi Aero Sport Indonesia (FASI)
Apa nama induk organisasi bridge di Indonesia?,Gabungan Bridge Seluruh Indonesia (Gabsi)
Apa nama induk organisasi pencak silat di Indonesia?,Ikatan Pencak Silat Indonesia (IPSI)
Apa nama induk organisasi wushu di Indonesia?,Wushu Indonesia (WI)
Apa nama induk organisasi cricket di Indonesia?,Persatuan Cricket Indonesia (PCI)
Apa nama induk organisasi bola tangan di Indonesia?,Asosiasi Bola Tangan Indonesia (ABTI)
Apa nama induk organisasi woodball di Indonesia?,Indonesia Woodball Association (IWbA)
Apa nama induk organisasi equestrian di Indonesia?,Equestrian Federation of Indonesia (EFI)
Apa nama induk organisasi kabaddi di Indonesia?,Federasi Olahraga Kabaddi Seluruh Indonesia (FOKSI)
Apa nama induk organisasi petanque di Indonesia?,Federasi Olahraga Petanque Indonesia (FOPI)
Apa nama induk organisasi rugby di Indonesia?,Persatuan Rugby Union Indonesia (PRUI)
Apa nama induk organisasi barongsai di Indonesia?,Federasi Olahraga Barongsai Indonesia (FOBI)
Apa nama induk organisasi muaythai di Indonesia?,Muaythai Indonesia (MI)
Apa nama induk organisasi gateball di Indonesia?,Persatuan Gateball Seluruh Indonesia (Pergatsi)
Apa nama induk organisasi hockey di Indonesia?,Federasi Hockey Indonesia (FHI)
Apa nama induk organisasi binaraga di Indonesia?,Perkumpulan Binaraga dan Fitnes Seluruh Indonesia (PBFI)
Dimana letak Taj Mahal?,India
"Dimana letak Colosseum?,""Roma, Italia""",
Dimana letak Menara Pisa?,Italia
"Dimana letak Hagia Sophia?,""Istanbul, Turki""",
"Dimana letak Candi Borobudur?,""Magelang, Jawa Tengah""",
Dimana letak Piramida Giza?,Mesir
Dimana letak Angkor Wat?,Kamboja
Dimana letak Stonehenge?,Inggris
Dimana letak Parthenon?,Yunani
Dimana letak Machu Picchu?,Peru
Dimana letak Patung Liberty?,New York
Dimana letak Christ the Redeemer?,Rio de Janeiro
Dimana letak patung Hachiko?,Shibuya
Dimana letak Monumen Nasional?,Jakarta
,
,
,
,
,
,
,
,
